Track ID,Album,Artist,Genre,Title
000002,awol  a way of life,awol,hiphop,food
000003,awol  a way of life,awol,hiphop,electric ave
000005,awol  a way of life,awol,hiphop,this world
000010,constant hitmaker,kurt vile,pop,freeway
000134,awol  a way of life,awol,hiphop,street music
000135,mp3,abominog,rock,fathers day
000136,mp3,abominog,rock,peel back the mountain sky
000137,live at lace,airway,experimental,side a
000138,live at lace,airway,experimental,side b
000139,every man for himself,alec k redfearn  the eyesores,folk,candyass
000140,the blind spot,alec k redfearn  the eyesores,folk,queen of the wires
000141,every man for himself,alec k redfearn  the eyesores,folk,ohio
000142,the quiet room,alec k redfearn  the eyesores,folk,punjabi watery grave
000144,amoebiasis,amoebic ensemble,jazz,wire up
000145,amoebiasis,amoebic ensemble,jazz,amoebiasis
000146,limbic rage,amoebic ensemble,jazz,gimme a buck or ill touch you  boilermaker
000147,limbic rage,amoebic ensemble,jazz,repetitive motion sickness
000148,contradiction,contradiction,experimental,blackout 2
000149,two gongwire pieces,andy hayleck,experimental,outside the window bees buzzed
000150,two gongwire pieces,andy hayleck,experimental, listening to the sunshine burn the grass
000151,make them suffer,animal writes,rock,untitled 04
000152,make them suffer,animal writes,rock,untitled 11
000153,arc and sender,arc and sender,rock,hundredyear flood
000154,arc and sender,arc and sender,rock,squares and circles
000155,unreleased demo,arc and sender,rock,maps of the stars homes
000156,thee haunted cobblestone sunset concert series 7,area c,experimental,track 01
000157,thee haunted cobblestone sunset concert series 7,area c,experimental,track 02
000158,thee haunted cobblestone sunset concert series 7,area c,experimental,track 03
000159,thee haunted cobblestone sunset concert series 7,area c,experimental,track 04
000160,thee haunted cobblestone sunset concert series 7,area c,experimental,track 05
000161,thee haunted cobblestone sunset concert series 7,area c,experimental,track 06
000162,thee haunted cobblestone sunset concert series 7,area c,experimental,track 07
000163,thee haunted cobblestone sunset concert series 7,area c,experimental,track 08
000164,thee haunted cobblestone sunset concert series 7,area c,experimental,track 09
000165,thee haunted cobblestone sunset concert series 7,area c,experimental,track 10
000166,thee haunted cobblestone sunset concert series 7,area c,experimental,track 11
000167,thee haunted cobblestone sunset concert series 7,area c,experimental,track 12
000168,thee haunted cobblestone sunset concert series 7,area c,experimental,track 13
000169,boss of goth,argumentix,rock,boss of goth
000170,nightmarcher,argumentix,rock,industry standard massacre
000171,victim of your life,argumentix,rock,marching as technitions
000172,heir to the power bear fortune,argumentix,rock,i cant stand you upright
000173,boss of goth,argumentix,rock,save lifes golden receipt in case refund needed
000174,boss of goth,argumentix,rock,senators stance
000175,nightmarcher,argumentix,rock,snapped today
000176,victim of your life,argumentix,rock,step up to legends
000177,boss of goth,argumentix,rock,petty hate machine
000178,tarantula downpour 7,argumentix,rock,lend me a blanket
000179,dracula safari,argumentix,rock,ready to die
000181,scared famous,ariel pinks haunted graffiti,rock,gopacapulco
000182,worn copy,ariel pinks haunted graffiti,rock,jules lost his jewels
000183,the doldrums,ariel pinks haunted graffiti,rock,for kate i wait
000184,house arrest,ariel pinks haunted graffiti,rock,helen
000188,blue piano,ed askew,folk,piano 1
000189,what i know,ed askew,folk,the thought of it
000190,blue piano,ed askew,folk,castle of stars
000191,what i know,ed askew,folk,song about michael
000192,what i know,ed askew,folk,ed talk wnyc
000193,blue piano,ed askew,folk,here with you
000194,blue piano,ed askew,folk,all i want to do
000195,what i know,ed askew,folk,i remember you
000196,what i know,ed askew,folk,bright mr brother
000197,blue piano,ed askew,folk,piano 2
000198,blue piano,ed askew,folk,it breaks my heart
000199,what i know,ed askew,folk,rimbaud
000200,blue piano,ed askew,folk,baby come home
000201,what i know,ed askew,folk,big city
000202,what i know,ed askew,folk,palomino
000203,blue piano,ed askew,folk,song for r
000204,blue piano,ed askew,folk,my dream
000205,what i know,ed askew,folk,what crow saw
000206,what i know,ed askew,folk,bella crane
000207,blue piano,ed askew,folk,piano 3
000208,blue piano,ed askew,folk,safe harbor
000209,blue piano,ed askew,folk,safe harbor
000210,blue piano,ed askew,folk,in the french court
000211,blue piano,ed askew,folk,in america
000212,blue piano,ed askew,folk,when i arive
000213,au,au,pop,boute
000226,bad news bats,bad news bats,rock,wtm
000228,bad news bats,bad news bats,rock,dont run with pizzas
000237,6,barnacled,jazz,garbage and garbage and fire
000238,6,barnacled,jazz,france attacks
000247,on opaque things,bird names,rock,a new map for kissing
000249,on opaque things,bird names,rock,the indefinite time yet to come
000252,on opaque things,bird names,rock,its becoming a stranger
000255,on opaque things,bird names,rock,we want to be old
000256,black elk,black elk,rock,toggle
000257,black elk,black elk,rock,my lil
